Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,2221,1.04445431404056,-0.652789914585718,0,-3.852875,0.396725,-0.07629375,0,0,0,0,0,1
2,2221,0.811308237905246,-0.634121039761039,0,-3.54,0.770575,-0.02288875,0,0,0,0,0,1
3,2221,0.606141600765484,-0.466273053677464,0,-3.547625,0.4653875,0.02288875,0,0,0,0,0,1
4,2221,0.913915429716591,-0.410323724982939,0,-3.54,0.48065,0.251775,0,0,0,0,0,1
5,2221,0.951205432883022,-0.540872158603497,0,-3.6545,0.42725,0.213625,0,0,0,0,0,1
6,2221,0.867267115896356,-0.400994062218892,0,-3.5935,0.640875,0.08392375,0,0,0,0,0,1
7,2221,0.792687109563494,-0.774018234738815,0,-3.837625,0.4196125,0.343325,0,0,0,0,0,1
8,2221,0.960515997053898,-0.354369621640121,0,-3.425625,0.7934625,0.396725,0,0,0,0,0,1
9,2221,1.11908206685635,-0.624810475590163,0,-3.8605,0.526425,0.251775,0,0,0,0,0,1
10,2221,1.02578543921588,-0.400994062218892,0,-3.471375,0.915525,0.0915525,0,0,0,0,0,1
11,2221,1.0911026278608,-0.652789914585718,0,-3.738375,0.770575,0.396725,0,0,0,0,0,1
12,2221,0.988495436049453,-0.718059356747704,0,-3.944375,0.5950875,-0.11444125,0,0,0,0,0,1
13,2221,1.03514374986969,-0.475597941793218,0,-3.334,0.6256125,0.16785,0,0,0,0,0,1
14,2221,0.923225993887467,-0.345044733524367,0,-3.40275,0.5188,-0.12207,0,0,0,0,0,1
15,2221,0.85795655172548,-0.410323724982939,0,-3.601125,0.6485,-0.11444125,0,0,0,0,0,1
16,2221,1.00716431087413,-0.522251030261745,0,-3.562875,0.5950875,0.07629375,0,0,0,0,0,1
17,2221,1.21233094801389,-0.522251030261745,0,-3.63925,0.55695,0.3280625,0,0,0,0,0,1
18,2221,0.718059356747704,-0.72736992091858,0,-3.837625,0.6637625,0.2288875,0,0,0,0,0,1
19,2221,1.10972375620255,-0.410323724982939,0,-3.3035,0.55695,0.137325,0,0,0,0,0,1
20,2221,1.05376487821144,-0.596831036594608,0,-3.49425,0.6637625,0.213625,0,0,0,0,0,1
21,2221,0.80199767373437,-0.652789914585718,0,-3.486625,0.7171625,-0.02288875,0,0,0,0,0,1
22,2221,0.736728231572384,-0.708748792576828,0,-3.425625,0.8544875,-0.01525875,0,0,0,0,0,1
23,2221,0.979184871878577,-0.559541033428177,0,-3.547625,0.74005,-0.0991825,0,0,0,0,0,1
24,2221,0.904557119062787,-0.596831036594608,0,-3.601125,0.396725,0.068665,0,0,0,0,0,0
25,2221,0.932536558058342,-0.382344285987384,0,-3.66975,0.8087125,0.1983625,0,0,0,0,0,0
26,2221,0.969826561224774,-0.45694816556171,0,-3.7765,0.7782,0.0991825,0,0,0,0,0,0
27,2221,1.23095207635565,-0.559541033428177,0,-3.547625,0.7934625,0.2822875,0,0,0,0,0,0
28,2221,0.475597941793218,-0.410323724982939,0,-3.295875,0.602725,0.2822875,0,0,0,0,0,0
29,2221,1.15637207002278,-0.512892719607942,0,-3.63925,0.5416875,0.5035375,0,0,0,0,0,0
30,2221,0.988495436049453,-0.49427159126619,0,-3.471375,0.7553125,0.2594,0,0,0,0,0,0
31,2221,0.951205432883022,-0.643479350414842,0,-3.43325,0.4653875,0.137325,0,0,0,0,0,0
32,2221,0.951205432883022,-0.718059356747704,0,-3.63925,0.5188,-0.1297,0,0,0,0,0,0
33,2221,0.979184871878577,-0.746038795743259,0,-4.028375,0.3204375,0.305175,0,0,0,0,0,0
34,2221,0.512892719607942,-0.606141600765484,0,-3.34925,0.7553125,0.05340625,0,0,0,0,0,0
35,2221,0.885935990721035,-0.484913280612387,0,-3.265375,0.4653875,-0.10681125,0,0,0,0,0,0
36,2221,0.951205432883022,-0.67141104292747,0,-3.63925,0.6332375,0.2594,0,0,0,0,0,0
37,2221,1.02578543921588,-0.559541033428177,0,-3.63925,0.747675,0.1602125,0,0,0,0,0,0
38,2221,0.932536558058342,-0.484913280612387,0,-3.93675,0.5416875,-0.0915525,0,0,0,0,0,0
39,2221,0.811308237905246,-0.568851597599052,0,-3.1815,0.8087125,0.396725,0,0,0,0,0,0
40,2221,0.522251030261745,-0.49427159126619,0,-3.662125,0.68665,0.2594,0,0,0,0,0,0
41,2221,1.00716431087413,-0.531561594432621,0,-3.852875,0.48065,0.251775,0,0,0,0,0,0
42,2221,0.67141104292747,-0.233136526838732,0,-3.5095,0.617975,-0.137325,0,0,0,0,0,0
43,2221,1.01647487504501,-0.354369621640121,0,-3.707875,0.7171625,0.2899125,0,0,0,0,0,0
44,2221,0.923225993887467,-0.354369621640121,0,-3.55525,0.4653875,-0.16785,0,0,0,0,0,0
45,2221,0.904557119062787,-0.49427159126619,0,-3.707875,0.35095,0.061035,0,0,0,0,0,0
46,2221,0.839287676900801,-0.652789914585718,0,-3.517125,0.7553125,-0.07629375,0,0,0,0,0,0
47,2221,0.475597941793218,-0.466273053677464,0,-3.074625,0.3662125,0.137325,0,0,0,0,0,0
48,2221,0.774018234738815,-0.634121039761039,0,-3.364625,0.55695,-0.08392375,0,0,0,0,0,0
49,2221,0.932536558058342,-0.550182722774373,0,-3.547625,0.694275,0.305175,0,0,0,0,0,0
50,2221,0.662100478756594,-0.484913280612387,0,-3.46375,0.9384125,0.2441375,0,0,0,0,0,0
51,2221,0.755349359914135,-0.764707670567939,0,-3.547625,0.564575,0.1907375,0,0,0,0,0,0
52,2221,0.85795655172548,-0.634121039761039,0,-3.685,0.74005,0.3356875,0,0,0,0,0,0
53,2221,0.578162161769928,-0.419648613098693,0,-3.517125,0.6485,0.3204375,0,0,0,0,0,0
54,2221,1.02578543921588,-0.624810475590163,0,-3.311125,0.7019,0.07629375,0,0,0,0,0,0
55,2221,0.606141600765484,-0.755349359914135,0,-3.54,0.6485,0.01525875,0,0,0,0,0,0
56,2221,0.923225993887467,-0.67141104292747,0,-3.395125,0.8468625,-0.02288875,0,0,0,0,0,0
57,2221,0.49427159126619,-0.568851597599052,0,-3.990125,0.7553125,-0.05340625,0,0,0,0,0,0
58,2221,0.652789914585718,-0.559541033428177,0,-3.219625,0.7171625,0.2746625,0,0,0,0,0,0
59,2221,0.969826561224774,-0.624810475590163,0,-3.784125,0.7019,0.1602125,0,0,0,0,0,0
60,2221,0.72736992091858,-0.410323724982939,0,-3.562875,0.5950875,-0.07629375,0,0,0,0,0,0
61,2221,0.85795655172548,-0.466273053677464,0,-3.46375,0.770575,-0.11444125,0,0,0,0,0,0
62,2221,0.690079917752149,-0.699390481923025,0,-3.753625,0.55695,0.05340625,0,0,0,0,0,0
63,2221,0.820666548559049,-0.428973501214447,0,-4.325875,0.5950875,0.11444125,0,0,0,0,0,0
64,2221,0.829977112729925,-0.736728231572384,0,-3.898625,0.823975,0.10681125,0,0,0,0,0,0
