Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,5711,0,395.547305009197,4.41048096328426,-0.67139,0.30518,-0.30518,0,0,0,0,0,1
2,5711,0,403.163616856984,5.01198483697738,-0.79346,0.54932,-0.48828,0,0,0,0,0,1
3,5711,0,400.757601362211,5.4131242803891,-0.97656,0.36621,-0.061035,0,0,0,0,0,1
4,5711,0,404.16954483688,5.01198483697738,-0.73242,0.67139,-0.30518,0,0,0,0,0,1
5,5711,0,410.788140361749,4.0095878695819,-0.97656,0.54932,-0.18311,0,0,0,0,0,1
6,5711,0,399.554593614825,9.82360524367337,-0.91553,0.30518,-0.42725,0,0,0,0,0,1
7,5711,0,403.767173644921,10.6254735476479,-0.73242,0.18311,-0.18311,0,0,0,0,0,1
8,5711,0,407.975647846528,8.82096192656853,-0.97656,0.61035,-0.12207,0,0,0,0,0,1
9,5711,0,404.16954483688,9.22210136998025,-1.0986,0.36621,-0.18311,0,0,0,0,0,1
10,5711,0,402.966537089494,5.01198483697738,-0.85449,0.24414,0.061035,0,0,0,0,0,1
11,5711,0,402.564165897535,7.01686088833812,-0.54932,0.30518,0.061035,0,0,0,0,0,1
12,5711,0,402.564165897535,2.20528153992703,-0.91553,0.061035,-0.24414,0,0,0,0,0,1
13,5711,0,401.562343746128,5.21234926725877,-0.73242,0.42725,-0.48828,0,0,0,0,0,1
14,5711,0,404.567810200349,7.21722531861951,-1.1597,0.79346,0,0,0,0,0,0,1
15,5711,0,396.951498352563,3.2076785073225,-0.73242,0.30518,-0.36621,0,0,0,0,0,1
16,5711,0,405.972003543715,8.21986863572435,-0.67139,0.24414,-0.24414,0,0,0,0,0,1
17,5711,0,405.972003543715,9.02173693969886,-1.1597,0.30518,0,0,0,0,0,0,1
18,5711,0,401.562343746128,5.21234926725877,-0.85449,0.18311,-0.061035,0,0,0,0,0,1
19,5711,0,399.156328251356,7.01686088833812,-0.67139,0.36621,-0.12207,0,0,0,0,0,0
20,5711,0,404.567810200349,9.22210136998025,-0.97656,0.48828,-0.24414,0,0,0,0,0,0
21,5711,0,404.16954483688,4.41048096328426,-0.73242,0.48828,-0.24414,0,0,0,0,0,0
22,5711,0,401.960609109597,9.02173693969886,-0.97656,0.36621,-0.42725,0,0,0,0,0,0
23,5711,0,405.368446755777,9.42246580026164,-0.85449,0.54932,-0.24414,0,0,0,0,0,0
24,5711,0,401.763529342107,8.62059749628714,-0.42725,0.36621,-0.24414,0,0,0,0,0,0
25,5711,0,400.95878695819,2.60625675019917,-0.97656,0.48828,-0.36621,0,0,0,0,0,0
26,5711,0,398.552771463418,3.60865371759465,-0.79346,0.61035,-0.18311,0,0,0,0,0,0
27,5711,0,399.357513847335,2.20528153992703,-0.85449,0.24414,-0.36621,0,0,0,0,0,0
28,5711,0,397.152683948542,8.62059749628714,-1.3428,0.61035,-0.18311,0,0,0,0,0,0
29,5711,0,400.158150402763,-1.00239696739548,-0.73242,0.48828,-0.061035,0,0,0,0,0,0
30,5711,0,403.364802452963,8.42023306600574,-0.91553,0.30518,-0.12207,0,0,0,0,0,0
31,5711,0,402.161794705577,1.00239696739548,-0.67139,0.36621,-0.12207,0,0,0,0,0,0
32,5711,0,401.763529342107,8.62059749628714,-1.0986,0.24414,0,0,0,0,0,0,0
33,5711,0,398.955142655376,0,-1.0376,0.36621,-0.54932,0,0,0,0,0,0
34,5711,0,402.161794705577,6.81649645805673,-0.91553,0.48828,-0.30518,0,0,0,0,0,0
35,5711,0,406.173189139694,6.01421757123328,-0.85449,0.30518,-0.061035,0,0,0,0,0,0
36,5711,0,402.161794705577,2.80670329705035,-1.0986,0.42725,-0.24414,0,0,0,0,0,0
37,5711,0,400.757601362211,2.20528153992703,-0.48828,0.18311,-0.30518,0,0,0,0,0,0
38,5711,0,404.36662460437,7.61836476203123,-0.67139,0.67139,0,0,0,0,0,0,0
39,5711,0,400.757601362211,2.80670329705035,-0.61035,0.30518,-0.36621,0,0,0,0,0,0
40,5711,0,407.37619688708,1.00239696739548,-0.85449,0.79346,-0.36621,0,0,0,0,0,0
41,5711,0,398.154506099949,10.0239696739548,-0.85449,0.36621,-0.30518,0,0,0,0,0,0
42,5711,0,403.767173644921,8.82096192656853,-0.67139,0.61035,-0.18311,0,0,0,0,0,0
43,5711,0,400.158150402763,-0.40095878695819,-0.54932,0.36621,-0.79346,0,0,0,0,0,0
44,5711,0,402.362980301556,1.00239696739548,-0.79346,0.61035,-0.061035,0,0,0,0,0,0
45,5711,0,402.362980301556,2.60625675019917,-0.91553,0.42725,-0.24414,0,0,0,0,0,0
46,5711,0,404.567810200349,6.21499258436361,-1.0376,0.97656,-0.18311,0,0,0,0,0,0
47,5711,0,400.560521594721,6.21499258436361,-1.1597,0.73242,-0.24414,0,0,0,0,0,0
48,5711,0,399.156328251356,5.6134887106705,-1.0986,0.54932,0.18311,0,0,0,0,0,0
49,5711,0,400.359335998742,4.21011653300287,-0.85449,0.42725,-0.24414,0,0,0,0,0,0
50,5711,0,404.16954483688,3.80910026444583,-1.0986,0.30518,-0.18311,0,0,0,0,0,0
51,5711,0,401.960609109597,5.81385314095189,-0.97656,0.67139,-0.12207,0,0,0,0,0,0
52,5711,0,402.161794705577,4.21011653300287,-0.91553,0.30518,-0.36621,0,0,0,0,0,0
53,5711,0,402.161794705577,6.01421757123328,-1.0376,0.36621,-0.12207,0,0,0,0,0,0
