Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,3711,63.4163630610372,-100.033735102661,0,2.555875,6.88175,-4.325875,0,0,0,0,0,1
2,3711,61.5840285913803,-100.721226995676,0,3.8605,6.23325,-6.218,0,0,0,0,0,1
3,3711,59.9803694635366,-99.4898982320664,0,4.249625,5.394,-5.867,0,0,0,0,0,1
4,3711,57.9472111360053,-98.1163803136116,0,1.9455,-0.068665,-4.280125,0,0,0,0,0,1
5,3711,56.3728693596761,-96.656376208189,0,0.9841875,-8.6975,-1.350375,0,0,0,0,0,1
6,3711,55.8568839730207,-96.7985653630344,0,0.953675,-13.64875,1.297,0,0,0,0,0,1
7,3711,57.2890365945046,-96.4555523503146,0,1.1138875,-17.90625,3.105125,0,0,0,0,0,1
8,3711,59.0642022287082,-92.6765457400942,0,5.081125,-23.1325,2.28125,0,0,0,0,0,1
9,3711,59.7516941217234,-90.0702331904542,0,7.026625,-15.465,-2.204875,0,0,0,0,0,1
10,3711,59.9510521120221,-87.2645626505156,0,16.31875,-12.5575,-3.891,0,0,0,0,0,1
11,3711,60.181193321411,-87.3510488374834,0,22.74375,0.7095375,-4.93625,0,0,0,0,0,1
12,3711,61.1252120401782,-86.0053824029674,0,29.3275,11.383,-6.668125,0,0,0,0,0,1
13,3711,66.3363712718824,-89.6700513422812,0,38.91,22.90375,-9.429875,0,0,0,0,0,1
14,3711,68.8268802830401,-95.1098859157986,0,42.1675,22.01125,-9.941125,0,0,0,0,0,1
15,3711,70.9172074460247,-96.1975596569869,0,41.26,13.47375,-11.299125,0,0,0,0,0,1
16,3711,72.5487180578072,-93.6777332943147,0,38.12375,2.746625,-11.36775,0,0,0,0,0,0
17,3711,73.4648852926356,-90.9013801058906,0,39.1775,-14.2825,-7.44625,0,0,0,0,0,0
18,3711,74.3238836920108,-86.6928742959827,0,46.1275,-27.885,-5.516,0,0,0,0,0,0
19,3711,72.2335565290262,-84.5732297814836,0,58.22,-41.77875,-1.396125,0,0,0,0,0,0
20,3711,64.1023890864768,-79.3063675819018,0,69.64125,-24.21625,-14.20625,0,0,0,0,0,0
21,3711,66.9373769779299,-91.1300554477038,0,83.7175,-4.28775,-28.2675,0,0,0,0,0,0
22,3711,71.9770297032742,-101.379401537177,0,83.62625,-5.99675,-26.45875,0,0,0,0,0,0
23,3711,79.0190575370596,-105.759413853444,0,77.28625,-6.38575,-21.77375,0,0,0,0,0,0
24,3711,82.0255519348726,-116.067394645946,0,66.42125,-8.262625,-13.3825,0,0,0,0,0,0
25,3711,84.143730581796,-115.722915765651,0,40.5725,-25.2375,0.953675,0,0,0,0,0,0
26,3711,84.0587102624039,-108.623719096412,0,23.18625,-33.96625,15.22875,0,0,0,0,0,0
27,3711,85.9482135675141,-104.986901641037,0,16.35,-46.31,35.0725,0,0,0,0,0,0
28,3711,77.5018845961837,-90.787042434984,0,10.192875,-59.31875,49.73625,0,0,0,0,0,0
29,3711,62.3565408037877,-77.1867230674027,0,22.00375,-64.2775,44.395,0,0,0,0,0,0
30,3711,54.5977037254725,-63.8165449092103,0,42.5875,-37.025,23.0025,0,0,0,0,0,0
31,3711,52.192215033707,-64.6476918246466,0,72.1125,19.73,-4.165625,0,0,0,0,0,0
32,3711,54.7413587478936,-73.1497237638546,0,91.21,23.705,2.1515,0,0,0,0,0,0
33,3711,50.4185152670791,-70.4012220593693,0,102.97375,29.7925,18.33375,0,0,0,0,0,0
34,3711,50.7043594443455,-79.6772320785604,0,113.09875,31.04375,27.35125,0,0,0,0,0,0
35,3711,54.1975218772995,-88.4680399301863,0,112.3575,13.2975,42.77,0,0,0,0,0,0
36,3711,58.4060276872074,-101.637394230504,0,92.1175,-10.07075,62.6375,0,0,0,0,0,0
37,3711,56.8316859108782,-103.4975801841,0,80.40625,-19.4625,58.32625,0,0,0,0,0,0
38,3711,60.2383621568643,-100.778395831129,0,81.00125,-6.3705,36.02625,0,0,0,0,0,0
39,3711,56.9460235817848,-105.530738511631,0,95.86375,17.05125,20.43125,0,0,0,0,0,0
40,3711,43.2606838948114,-108.594401744898,0,114.41,29.2975,9.704625,0,0,0,0,0,0
41,3711,34.6706999010599,-116.152414965338,0,114.05125,36.88,-1.8845,0,0,0,0,0,0
42,3711,28.8013661278549,-120.303751939793,0,109.52,26.245,10.92525,0,0,0,0,0,0
43,3711,25.7391687621643,-125.74358651331,0,94.29875,22.545,32.845,0,0,0,0,0,0
44,3711,21.8736759649761,-142.778433610817,0,4.158,16.3875,118.55375,0,0,0,0,0,0
45,3711,18.7528438962565,-111.685916462103,0,-178.05,-24.87125,151.5625,0,0,0,0,0,0
46,3711,31.8650293611212,-95.5965539509394,0,-78.4,-58.205,164.25,0,0,0,0,0,0
47,3711,37.0761885928254,-112.430577190571,0,1.20545,-62.3625,150.85,0,0,0,0,0,0
48,3711,31.3783613259804,-116.067394645946,0,8.850125,-34.645,115.89875,0,0,0,0,0,0
49,3711,38.3075173564349,-123.769062888808,0,46.79125,-15.28125,79.52125,0,0,0,0,0,0
50,3711,47.9558577398602,-140.116418093299,0,88.36375,21.73625,45.235,0,0,0,0,0,0
51,3711,31.6363540193081,-142.693413291425,0,114.5025,69.94625,24.41375,0,0,0,0,0,0
52,3711,21.9308448004294,-161.392020087379,0,133.175,93.66625,16.54875,0,0,0,0,0,0
53,3711,30.4915114426664,-161.993025793427,0,72.3425,80.6425,29.99875,0,0,0,0,0,0
54,3711,31.1203686326527,-155.118106863274,0,49.8425,52.46,40.91625,0,0,0,0,0,0
55,3711,29.9183572205578,-159.046631966218,0,29.1825,2.655,54.405,0,0,0,0,0,0
56,3711,32.6961762765576,-150.251426511865,0,-23.5825,-33.53875,76.24875,0,0,0,0,0,0
57,3711,22.4175128355703,-130.639584216234,0,-58.77625,-59.2575,91.60625,0,0,0,0,0,0
58,3711,31.492698996887,-117.726756741668,0,-65.9175,-60.4325,103.3025,0,0,0,0,0,0
59,3711,35.3581917940751,-114.463735518103,0,-49.095,-53.90125,93.20875,0,0,0,0,0,0
60,3711,44.0625134587332,-111.973226506945,0,-26.76375,-41.79375,63.61375,0,0,0,0,0,0
