Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,3721,-13.4376139301461,-179.919296281083,0,-5.3101,8.7891,-4.3335,0,0,0,0,0,1
2,3721,-10.1008361136409,-164.858914173376,0,4.4556,6.4087,-6.958,0,0,0,0,0,1
3,3721,-13.4376139301461,-160.801070232901,0,5.127,-2.5024,-2.3193,0,0,0,0,0,1
4,3721,-11.182989397539,-172.61443839097,0,2.8687,4.4556,1.6479,0,0,0,0,0,1
5,3721,-7.12459135912053,-179.468629953602,0,7.2021,6.2866,3.0518,0,0,0,0,0,1
6,3721,-8.47732913882186,-203.723343939181,0,9.5215,2.3804,-1.4648,0,0,0,0,0,1
7,3721,-9.37921589172759,-206.161374891127,0,16.174,-6.3477,-9.1553,0,0,0,0,0,1
8,3721,-19.9309030321641,-211.037436795021,0,19.653,-12.634,-14.526,0,0,0,0,0,1
9,3721,-20.1119083604147,-216.079728082001,0,7.4463,-6.1035,-12.878,0,0,0,0,0,1
10,3721,-14.3395006830518,-211.129786452291,0,-5.8594,-0.73242,-11.475,0,0,0,0,0,1
11,3721,-10.6418204059327,-202.65208791484,0,-6.897,-1.4038,-13.55,0,0,0,0,0,1
12,3721,-10.2811026446333,-197.055698684235,0,-14.16,-4.6387,-10.681,0,0,0,0,0,1
13,3721,-5.681720313923,-190.38805342929,0,-20.752,2.2583,-6.8359,0,0,0,0,0,1
14,3721,-0.811661137752247,-192.087287123071,0,-23.499,5.3711,-2.9907,0,0,0,0,0,1
15,3721,12.175009415941,-197.332747656048,0,-25.146,8.4839,-0.61035,0,0,0,0,0,1
16,3721,15.7823717282494,-196.963349026965,0,-19.653,3.9062,-0.97656,0,0,0,0,0,1
17,3721,19.029570377202,-193.712641091036,0,-18.494,-5.3101,-3.2959,0,0,0,0,0,1
18,3721,25.5217512833327,-174.147442701664,0,-10.681,-12.512,-3.9673,0,0,0,0,0,0
19,3721,24.7109212924959,-165.850749492463,0,-2.4414,-18.372,-1.0376,0,0,0,0,0,0
20,3721,19.6612420329336,-166.57292381232,0,-3.9673,-30.396,2.5635,0,0,0,0,0,0
21,3721,13.7983316914455,-160.529562240525,0,0.91553,-44.25,5.0049,0,0,0,0,0,0
22,3721,12.7161784075473,-175.680447012358,0,6.5918,-45.837,3.6621,0,0,0,0,0,0
23,3721,9.19894936073517,-197.683676353676,0,19.958,-41.626,-4.3945,0,0,0,0,0,0
24,3721,2.25462453260705,-213.734046787325,0,25.574,-44.922,-7.019,0,0,0,0,0,0
25,3721,-0.721472462461675,-216.800055408713,0,16.052,-33.386,-7.4463,0,0,0,0,0,0
26,3721,2.7957935242134,-216.079728082001,0,5.3711,-25.574,-5.8594,0,0,0,0,0,0
