Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,1331,0,-279.150371528336,-5.04174346007521,-2.647375,0.8468625,-0.11444125,0,0,0,0,0,1
2,1331,0,-279.415297417507,-4.7761382737522,-2.410875,0.7095375,-0.02288875,0,0,0,0,0,1
3,1331,0,-278.617123264235,-3.51604205730926,-2.78475,0.86975,-0.05340625,0,0,0,0,0,1
4,1331,0,-279.877219480678,-5.04174346007521,-2.708375,1.136775,-0.3280625,0,0,0,0,0,1
5,1331,0,-280.542930689364,-4.44464126371222,-2.807625,0.7171625,-0.2746625,0,0,0,0,0,1
6,1331,0,-278.420127090235,-5.77130860102385,-2.594,0.823975,0.2441375,0,0,0,0,0,1
7,1331,0,-280.410467744779,-4.24560719825789,-2.594,0.6637625,0.12207,0,0,0,0,0,1
8,1331,0,-279.547760362093,-5.37324047011519,-2.05225,0.7247875,-0.11444125,0,0,0,0,0,1
9,1331,0,-280.342538029607,-5.10797493236804,-2.46425,0.8010875,0.2441375,0,0,0,0,0,1
10,1331,0,-280.807856578536,-4.7761382737522,-2.49475,0.7629375,0.4425,0,0,0,0,0,1
11,1331,0,-278.617123264235,-7.16454705920416,-2.388,0.732425,-0.137325,0,0,0,0,0,1
12,1331,0,-278.552590034821,-4.7761382737522,-2.380375,0.7019,0.137325,0,0,0,0,0,1
13,1331,0,-277.621952936963,-3.91377053964206,-2.883875,0.747675,-0.068665,0,0,0,0,0,1
14,1331,0,-278.420127090235,-7.03174446604265,-2.426125,0.7934625,0.0991825,0,0,0,0,0,1
15,1331,0,-279.150371528336,-5.90411119418536,-2.3575,0.5950875,0.1983625,0,0,0,0,0,1
16,1331,0,-280.807856578536,-5.04174346007521,-2.334625,0.877375,-0.0915525,0,0,0,0,0,1
17,1331,0,-280.077612140435,-3.31687213242458,-2.525375,0.991825,0.068665,0,0,0,0,0,1
18,1331,0,-279.744756536092,-4.11280460509639,-2.540625,1.07575,-0.343325,0,0,0,0,0,1
19,1331,0,-278.817515923992,-5.57227453556952,-2.365125,0.94605,-0.381475,0,0,0,0,0,1
20,1331,0,-279.214904757749,-5.70507712873103,-2.70075,0.9765625,-0.1297,0,0,0,0,0,0
21,1331,0,-278.617123264235,-6.56744486284117,-2.49475,1.1520375,-0.4577625,0,0,0,0,0,0
22,1331,0,-278.352197375063,-4.51087273600505,-2.616875,0.7019,-0.1907375,0,0,0,0,0,0
23,1331,0,-279.877219480678,-5.97034266647818,-2.78475,0.4653875,0.343325,0,0,0,0,0,0
24,1331,0,-278.155201201064,-5.83787972189253,-2.693125,0.4653875,0.068665,0,0,0,0,0,0
25,1331,0,-280.142145369849,-5.6388456564382,-2.365125,0.8010875,0.213625,0,0,0,0,0,0
26,1331,0,-279.479830646921,-2.32180369972569,-2.31175,0.86975,0.305175,0,0,0,0,0,0
27,1331,0,-277.886878826134,-4.84270939462088,-2.456625,0.68665,0.07629375,0,0,0,0,0,0
28,1331,0,-278.817515923992,-7.49604406924414,-2.601625,0.8926375,0.1297,0,0,0,0,0,0
29,1331,0,-278.685052979407,-5.17420640466086,-2.22775,1.1444125,-0.2059875,0,0,0,0,0,0
