Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,1312,0,-2.87892566880692,-5.06787397595334,-1.1596625,0.81635,-0.511175,0,0,0,0,0,1
2,1312,0,-2.66476955973221,-4.85371786687863,-1.1901875,0.3585875,-0.305175,0,0,0,0,0,1
3,1312,0,-2.28408819405618,-5.21052289729946,-1.091,0.5416875,0.2365125,0,0,0,0,0,1
4,1312,0,-2.18894830714643,-4.82984153162343,-1.4725,0.396725,-0.251775,0,0,0,0,0,1
5,1312,0,-2.18894830714643,-4.87747238409682,-1.4115,0.42725,-0.3585875,0,0,0,0,0,1
6,1312,0,-2.87892566880692,-5.04399764069814,-1.18255,0.396725,0.10681125,0,0,0,0,0,1
7,1312,0,-2.40310441622113,-5.56744974575731,-1.2283375,0.770575,0.213625,0,0,0,0,0,1
8,1312,0,-2.52199882034907,-4.66331627502211,-1.28175,0.3280625,0.213625,0,0,0,0,0,1
9,1312,0,-1.73688157177883,-5.44855534162937,-1.2359625,0.823975,-0.0991825,0,0,0,0,0,1
10,1312,0,-2.04617756776329,-5.49606437606574,-0.94605,0.770575,-0.1907375,0,0,0,0,0,1
11,1312,0,-2.33171904652956,-4.73470164471368,-1.258875,0.8468625,-0.267025,0,0,0,0,0,1
12,1312,0,-2.64101504251402,-5.21052289729946,-0.86975,0.8850125,-0.3662125,0,0,0,0,0,1
13,1312,0,-2.37922808096593,-5.3532936366826,-1.2359625,0.7019,-0.3128,0,0,0,0,0,1
14,1312,0,-2.23645734158279,-5.13925934564491,-1.2359625,0.7095375,-0.061035,0,0,0,0,0,1
15,1312,0,-2.59338419004064,-5.68646596792226,-1.304625,0.7553125,0.12207,0,0,0,0,0,1
16,1312,0,-1.76063608899701,-5.49606437606574,-1.380875,0.48065,-0.2594,0,0,0,0,0,1
17,1312,0,-2.73615492942378,-5.8292367073054,-0.8850125,0.5340625,0.007629375,0,0,0,0,0,1
18,1312,0,-1.9985467152899,-4.63956175780393,-1.503,0.7934625,0.068665,0,0,0,0,0,1
19,1312,0,-1.9985467152899,-5.11538301038971,-1.48775,0.68665,-0.1831,0,0,0,0,0,0
