Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,3111,0,-63.145678601368,-68.837678302224,-3.6621,4.5776,-0.85449,0,0,0,0,0,1
2,3111,0,-63.27864371438,-68.7038024692599,5.9204,2.3804,0.12207,0,0,0,0,0,1
3,3111,0,-64.8796893902368,-66.5253603437483,8.1787,1.9531,0.54932,0,0,0,0,0,1
4,3111,0,-65.6802122281652,-65.991678451796,4.2114,-0.42725,0.73242,0,0,0,0,0,1
5,3111,0,-67.3705084593314,-67.281257904022,3.479,-1.2817,-0.24414,0,0,0,0,0,1
6,3111,0,-68.6600879115573,-68.5708373562479,3.9062,0,-1.4648,0,0,0,0,0,1
7,3111,0,-68.259371132617,-68.9269288575334,1.0986,0.97656,-1.8921,0,0,0,0,0,1
8,3111,0,-65.991678451796,-71.9951443762828,-2.3804,3.6011,-2.7466,0,0,0,0,0,1
9,3111,0,-65.1019050585582,-70.4387239780808,-3.6621,5.4321,-3.3569,0,0,0,0,0,1
10,3111,0,-62.8788376553919,-69.548950584843,-3.7842,6.0425,-2.7466,0,0,0,0,0,1
11,3111,0,-61.8560991491421,-67.5480988499981,-2.9297,6.1646,-2.1973,0,0,0,0,0,1
12,3111,0,-60.6557702522256,-67.7256892406648,-3.9673,5.4932,-1.2207,0,0,0,0,0,1
13,3111,0,-60.877985920547,-64.8796893902368,6.4087,1.709,-2.4414,0,0,0,0,0,1
14,3111,0,-63.4125195473442,-62.3451557634396,17.334,-2.1362,-4.2114,0,0,0,0,0,1
15,3111,0,-66.0809290071054,-60.5665196969162,16.235,-5.4932,-4.3945,0,0,0,0,0,1
16,3111,0,-69.4606107494857,-61.8560991491421,15.015,-7.1411,-5.249,0,0,0,0,0,1
17,3111,0,-69.5043253071883,-62.8342123777372,13.855,-8.3618,-5.6152,0,0,0,0,0,1
18,3111,0,-70.2165083097594,-63.1010533237133,9.8267,-6.7749,-5.7983,0,0,0,0,0,1
19,3111,0,-70.1272577544499,-65.1465303362129,5.0659,-5.0049,-5.9814,0,0,0,0,0,1
20,3111,0,-70.0380071991405,-64.568223166606,1.2817,-3.0518,-5.249,0,0,0,0,0,1
21,3111,0,-66.6583254567603,-63.1010533237133,-4.7607,-1.5869,-4.6997,0,0,0,0,0,1
22,3111,0,-67.5034735723434,-63.145678601368,-9.5825,-0.48828,-4.7607,0,0,0,0,0,1
23,3111,0,-69.548950584843,-62.2559052081302,-13.672,0.061035,-6.2866,0,0,0,0,0,1
24,3111,0,-71.3722119290212,-62.1229400951182,-17.395,1.0986,-8.5449,0,0,0,0,0,1
25,3111,0,-68.0371554642956,-63.145678601368,-19.47,2.8687,-9.1553,0,0,0,0,0,1
26,3111,0,-63.7686110486297,-60.0774630826186,-16.235,3.9062,-11.108,0,0,0,0,0,1
27,3111,0,-63.9462014392964,-54.0739971581318,-6.5308,-0.54932,-14.832,0,0,0,0,0,1
28,3111,0,-66.702950734415,-51.7616791996561,8.0566,-6.0425,-22.339,0,0,0,0,0,0
29,3111,0,-68.3486216879265,-51.9838948679775,14.221,-12.085,-26.489,0,0,0,0,0,0
30,3111,0,-69.3713601941763,-57.8097704017976,10.315,-15.564,-28.931,0,0,0,0,0,0
31,3111,0,-68.8823035798787,-62.0336895398088,6.1035,-16.968,-29.907,0,0,0,0,0,0
32,3111,0,-72.8840070495685,-64.1684171076178,4.5166,-15.808,-31.128,0,0,0,0,0,0
33,3111,0,-72.0397696539375,-64.6128484442607,7.6904,-14.648,-32.166,0,0,0,0,0,0
34,3111,0,-69.1045192482001,-66.1692688424627,6.958,-13.672,-29.48,0,0,0,0,0,0
35,3111,0,-63.9908267169511,-72.394950435271,-1.4648,-10.62,-22.766,0,0,0,0,0,0
36,3111,0,-59.7659968589878,-72.261985322259,-13.062,-5.7373,-15.869,0,0,0,0,0,0
37,3111,0,-60.6994848099282,-72.1281094892948,-29.175,-3.3569,-9.0942,0,0,0,0,0,0
38,3111,0,-67.9041903512836,-67.7256892406648,-38.269,-1.6479,-12.146,0,0,0,0,0,0
39,3111,0,-72.8393817719138,-67.9479049089862,-41.748,-8.4839,-15.686,0,0,0,0,0,0
40,3111,0,-71.0607457053903,-73.4623142191755,-35.889,-10.559,-23.193,0,0,0,0,0,0
41,3111,0,-68.970643415236,-76.0860984012821,-15.869,-14.648,-30.334,0,0,0,0,0,0
42,3111,0,-67.3705084593314,-73.9959961111277,2.4414,-18.799,-35.278,0,0,0,0,0,0
43,3111,0,-68.2147458549623,-73.0625081601873,18.25,-22.888,-35.706,0,0,0,0,0,0
44,3111,0,-68.259371132617,-70.3048481451167,21.301,-24.353,-33.508,0,0,0,0,0,0
45,3111,0,-69.1937698035096,-69.9933819214858,18.86,-26.123,-32.166,0,0,0,0,0,0
46,3111,0,-68.8823035798787,-73.1062227178899,19.775,-28.687,-28.442,0,0,0,0,0,0
47,3111,0,-70.2602228674619,-76.9749610745677,20.081,-28.687,-24.841,0,0,0,0,0,0
