Id,SessionId,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Thermometer,Barometer,Trigger
1,3231,0.300175785629269,0,-15.1587911076565,2.1973,0,0.061035,0,0,0,0,0,1
2,3231,-6.7540781289751,0,-13.5078488771588,1.6479,-0.061035,0,0,0,0,0,0,1
3,3231,-1.80106700900727,0,-17.4103554045091,2.1362,-0.24414,-0.061035,0,0,0,0,0,1
4,3231,-1.0506275449341,0,-14.2584727697068,2.1973,0.061035,-0.12207,0,0,0,0,0,1
5,3231,-3.75219732036586,0,-12.0069084728542,2.0752,-0.12207,-0.12207,0,0,0,0,0,1
6,3231,-0.450251383212248,0,-14.5584764220929,1.77,-0.30518,0.30518,0,0,0,0,0,1
7,3231,-5.10313589847743,0,-14.2584727697068,2.2583,-0.24414,-0.061035,0,0,0,0,0,1
8,3231,-4.6528230391069,0,-12.7575323654022,2.0142,-0.18311,-0.18311,0,0,0,0,0,1
9,3231,-1.80106700900727,0,-13.9581617365293,2.2583,-0.54932,0.12207,0,0,0,0,0,1
10,3231,-3.90219914655891,0,-13.6581580841432,2.1362,-0.061035,0.24414,0,0,0,0,0,1
11,3231,-3.00175785629269,0,-14.4084745958999,2.1973,-0.061035,-0.061035,0,0,0,0,0,1
12,3231,-0.900533504503633,0,-16.0594168263975,2.0752,0.061035,0.30518,0,0,0,0,0,1
13,3231,2.10122435178905,0,-13.3578470509658,2.1362,0.18311,-0.18311,0,0,0,0,0,1
14,3231,-3.75219732036586,0,-11.8569066466611,2.6245,-0.36621,-0.061035,0,0,0,0,0,1
15,3231,-0.60034542364271,0,-16.2094186525906,1.5869,-0.30518,-0.18311,0,0,0,0,0,1
16,3231,-1.95116104943773,0,-12.7575323654022,2.0142,-0.12207,-0.061035,0,0,0,0,0,1
17,3231,-5.40313955086352,0,-12.6075305392091,1.9531,-0.24414,-0.12207,0,0,0,0,0,1
18,3231,-0.750439464073171,0,-13.9581617365293,2.1362,0.48828,-0.12207,0,0,0,0,0,1
